MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
215137000,2023-01-19T00:00:03,34.30348,-120.26451,10.5,285.5,284,CMA CGM J. MADISON,IMO9780897,9HA4975,71,Under way using its engine,366,48,11.3,71,A
367140970,2023-01-19T00:00:02,29.80385,-93.34515,0,8.1,273,CAMERON NO II,,WDD4160,60,Under way using its engine,62,15,,69,A
367750150,2023-01-19T00:00:03,25.79677,-80.24581,0,360,511,CAPT BABUN,IMO8842131,WDI9586,31,Has restricted maneuverability,18,7,,52,A
368126190,2023-01-19T00:00:04,33.68989,-119.10756,9.3,271.6,265,GERONIMO,IMO9903188,WDL3906,31,Under way using its engine,39,11,5,31,A
366818680,2023-01-19T00:00:04,27.8428,-97.17689,10.6,210,511,CRYSTAL CLEAR,,WDG9446,60,Moored (tied to another object to limit free movement),30,7,,60,A
367030568,2023-01-19T00:00:05,47.89043,-122.46272,9,348,511,LADY KATE,,WCW8353,30,Under way using its engine,0,0,0,30,A
367474720,2023-01-19T00:00:06,29.60498,-89.86417,9.1,100.4,511,MOOSE,,WDF6482,31,Power-driven vessel pushing ahead/towing alongside,17,7,,31,A
368052910,2023-01-19T00:00:07,29.53559,-90.77025,5.6,94.9,511,LIL' EMI,,WDK4206,31,Reserved for future use,17,7,3.5,31,A
368248580,2023-01-19T00:00:01,40.39092,-79.85612,0,22.2,292,JOHN AUSTIN,,WDM9005,52,Under way using its engine,205,12,0,52,A
338848000,2023-01-19T00:00:02,29.8513,-80.48883,4.7,92.9,101,CG STONE,IMO123456789,NSTO,55,Under way using its engine,140,18,6.9,55,A
215031000,2023-01-19T00:00:02,29.3242,-94.65644,11.1,301.4,303,SERENE AMELIA,IMO956795800,9HA4929,79,Under way using its engine,190,32,11.8,79,A
367300590,2023-01-19T00:00:00,32.84917,-79.93533,0,141,511,ELIZABETH TURECAMO,IMO9205055,WDD8624,31,Under way using its engine,33,12,4.9,52,A
368182130,2023-01-19T00:00:00,29.78767,-95.06588,0.1,205,246,GRAND CHENIER,,WDL9772,57,Power-driven vessel pushing ahead/towing alongside,114,34,2.7,57,A
249651000,2023-01-19T00:00:00,41.62823,-70.33657,102.3,360,122,ULISSE,IMO8688535,9HA4326,99,Anchored,123,34,3.6,99,A
367719950,2023-01-19T00:00:01,35.42903,-94.35479,0,294.6,511,CAP'N BILL J,IMO850000000,WDI6561,30,Undefined,3,10,0,30,A
367513030,2023-01-19T00:00:02,42.34275,-71.01596,1.2,287.2,87,INDEPENDENCE,IMO9568407,WDG2186,31,Under way using its engine,39,14,5.8,52,A
366960460,2023-01-19T00:00:01,30.04843,-93.26371,4.9,10.1,511,F LOGAN,,WDB8561,31,Moored (tied to another object to limit free movement),17,7,,38,A
538002846,2023-01-19T00:00:02,28.78029,-93.20797,11.3,359.6,359,OB RIVER,IMO9315692,V7MF2,80,Under way using its engine,288,44,12.4,84,A
367475780,2023-01-19T00:00:02,29.76619,-91.71617,0,233.5,511,TRIPPER III,,WDF6586,60,Under way using its engine,23,9,,57,A
368286840,2023-01-19T00:00:03,29.75329,-91.73036,0,216.8,196,RESPONDER,IMO8842234,WDN5073,52,Under way using its engine,20,8,3.5,52,A
316021351,2023-01-19T00:00:05,49.29479,-123.13287,0,242.3,511,BRITANNIA,IMO8120650,VY5348,60,Under way using its engine,38,9,2.8,60,A
368150680,2023-01-19T00:00:06,29.68337,-91.27763,0,328.2,511,EMILEE ALEXIS,,WDL6432,57,Power-driven vessel pushing ahead/towing alongside,20,7,0,57,A
367199310,2023-01-19T00:00:01,33.74866,-118.27395,0.1,189.3,511,CATALINA JET,IMO8994142,WDD8449,60,Undefined,43,11,1.6,40,A
367162830,2023-01-19T00:00:05,29.34771,-94.74897,5.9,89.7,91,JOHN P PASENTINE,,WDD6356,31,Under way using its engine,26,9,,31,A
368051770,2023-01-19T00:00:08,40.63679,-74.07192,0.1,265.4,86,,,,0,Under way using its engine,0,0,2.8,57,A
366946850,2023-01-19T00:00:00,27.81814,-97.43052,0,125.3,29,MATHEW J SCOTT,,WDI3973,31,Power-driven vessel pushing ahead/towing alongside,18,7,,52,A
229062000,2023-01-19T00:00:00,30.06956,-88.04648,0,262.3,189,MINERVA PROVIDENCE,IMO9461257,9HA5429,70,Anchored,290,45,8.7,70,A
368067890,2023-01-19T00:00:00,27.82153,-97.42987,2.2,302.8,276,TED C. LITTON,IMO9869289,WDK5744,52,Under way using its engine,30,13,6.3,52,A
345050041,2023-01-19T00:00:03,29.64532,-91.1083,0,265.6,298,SEACOR WARRIOR,IMO9533701,XCVE4,90,Has restricted maneuverability,87,18,5.9,90,A
538006431,2023-01-19T00:00:03,28.70956,-89.36173,12.1,148.1,147,RB JORDANA,IMO9730816,V7NB2,70,Under way using its engine,229,,,79,A
